,prop_id,prop_id.1,prop_name.1,primary_commodity,mo_source_date,mo_yr_source_date,mine_type1,mine_type2,mine_type3,commodities_list,state_province,snl_global_region,latitude,longitude,coordinate_accuracy,distance_from,location_comments,locale,district,country/region_pol_risk,country/region_op_risk,country/region_sec_risk,country/region_ter_risk,millhead_grade_g_per_tonne,millhead_grade_g_per_cubic_m,millhead_grade_pct,millhead_grade_ct_per_tonne,millhead_grade_ct_per_cubic_m,recov_rate,production_capacity_oz,production_capacity_tonne,production_capacity_lb,production_capacity_ct,num_royalty_owners,owner_list,num_royalty_holders,royalty_holder_list,cash_cost_per_oz,cash_cost_per_tonne,cash_cost_per_lb,cash_cost_per_ct,total_production_cost_per_oz,total_production_cost_per_tonne,total_production_cost_per_lb,total_production_cost_per_ct,all_in_sustaining_cost_per_oz,all_in_sustaining_cost_per_tonne,all_in_sustaining_cost_per_lb,all_in_sustaining_cost_per_ct,start_up_yr,start_up_calendar_qtr,proj_start_up_yr,proj_start_up_qtr,actual_closure_yr,actual_closure_qtr,proj_closure_yr,proj_closure_qtr,mill_capacity_tonnes_per_day,mill_capacity_tonnes_per_year,mill_capacity_cubic_m_per_day,mill_capacity_cubic_m_per_year,stripping_ratio,waste_to_ore_ratio,mining_methods,processing_methods,production_forms,mining_processing_cost_per_metric_tonne,mining_processing_cost_per_cubic_m,amt_capital_invested,capital_cost_announced_date,capital_cost_proj_completion_date,capital_cost_completion_date,capital_cost_type,capital_cost_comments,capital_improvement_yr,owner_name,current_owner_common_name,current_owner_company_name_abbrev,owner_type,owner_pct,current_controlling_own_pct,owner_hq,owner_city_state,owner_location,owner_frgn_province,owner_country,owner_global_region,prop_name,also_known_as,country_name,actv_status,dev_stage,yr_source_date,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),remark,production_capacity_openpit,production_capacity_underground,production_capacity,productiion_to_capacity,mine_life,country/region_overall_risk,prob_shutdown,current_stage
252,25816.0,25816.0,Dumont,Nickel,7.0,07/2020,Open Pit,Stock Pile,Underground,"Nickel,Cobalt,Platinum,Palladium,Iron Ore",Quebec,United States and Canada,48.64667,-78.4425,Exact,75 km NW of Val-d'Or,"The Dumont project is located in the municipalities of Launay and Trécesson, 25 kilometres northwest of Amos, Quebec. (Royal Nickel PR June 12, 2015)_x000D_
   Dumont is located in the western portion of Quebec in the Launay and Trecesson townships. (Dumont Pros 11/12/10)",,,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,"Waterton Global Resource Management, Inc. (Owner) 100%; Investissement Québec (Fractional)",6.0,Nickel 28 Capital Corp. (NSR) 1.75%; Investissement Québec (NSR); Karora Resources Inc. (Royalty); Marbaw International Nickel Corporation (NSR); Orla Mining Ltd. (NSR); Private Interest (NSR),,,,,,,,,,,,,,,2020.0,,,,2053.0,,52500.0,19200000.0,,,1.43,,"Open Pit, Stock Pile","Ball, Crushing, Flotation, Magnetic Separation, Roasting, Semi-Autogenous Grinding","Concentrate, Sulfates",9.31,,1018000.0,2009-01-16,,,Initial Capital Cost,"In May 2019, RNC reported results of the feasibility study at Dumont. The estimated initial capital cost for the initial 52,500 mt/d capacity for years 1 to 7 was estimated at $601 million. (RNC PR May 30, 2019)_x000D_
In June 2013, Royal Nickel completed a bankable feasibility study at Dumont outlining an open pit operation with a 33-year mine life. During phase one of the operation (2016-2020), Dumont would process 52,500 mt/d to produce 33,000 mt/y Ni, 1,000 mt/y Co, and 15 million oz/y PGM. Initial capital costs for phase one were estimated at $1.2 billion. (Royal Nickel PR 6/17/13)_x000D_
	In November 2011, Royal Nickel announced results from the Dumont prefeasibility study. An initial 50,000-mt/d operation would cost $1.1 billion and would produce 28,000 mt/y Ni, 1,000 mt/y Co, and 13,000 oz/y Pt+Pd at cash costs of $3.8/lb Ni. An expansion to 100,000 mt/d would be completed in year five at a cost of $700 million which would increase production to 49,000 mt/y Ni, 3,000 mt/y Co, and 23,000 oz/y Pt+Pd at cash costs of $4.29/lb Ni. Production could begin in late 2015. (Royal Nickel PR 11/1/11)_x000D_
	In September 2011, Royal Nickel announced that results from the prefeasibility study were expected in November. The scope of the study had been changed to a 50,000 mt/d start-up with an expansion to 100,000 mt/d. Royal Nickel was in discussions with finance advisory firms. (Royal Nickel PR 9/26/11)_x000D_
	In November 2010, Royal Nickel announced an offering to fund further exploration and prefeasibility studies at Dumont. Studies had assessed Dumont as either an 80,000 mt/d mine or 100,000 mt/d mine.  At 80,000 mt/d, Dumont would produce 52,000 mt/y Ni at cash costs of $3.96/lb over its 31-year mine life.  Capital costs would be $2.02 billion.  The larger 100,000 mt/d case would require $2.3 billion to build and would produce 64,500 mt/y Ni at cash costs of $3.87/lb over a 25-year mine life. Both cases would have sustaining cost of over $1.1 billion. (Royal Nickel Pros 11/12/10)_x000D_
	During 2008,  Aker modified the conceptual study to incorporate updated resources and metallurgical information.  The updated study estimated production of a 75,000-mt/d mine to be 56,700 mt/y Ni over a 21-year mine life.  Cash costs would be about $4.29/lb with capital costs of $1.2 billion. (Royal Nickel PR 1/16/09)_x000D_
   In 1989, the total estimated cost to production was C$100 million. (PC 1/89) _x000D_
   Timmins Nickel declined to confirm this estimate pending further work.  (PC 11/92)",2016.0,"Waterton Global Resource Management, Inc.",Waterton Global Resource Management,Waterton Glbl Reso,,100.0,100.0,Toronto,"Toronto, Ontario",Toronto [CA],Ontario,Canada,United States and Canada,Dumont,"Dumont Sill, Launay-Trecesson, Main Zone, No. 1",Canada,Active,Operating,2020.0,2775730.0,0.27,89000.0,2165.4,5796600.0,1028048000.0,"Glencore Resource Statement 2019Staples et al., 2019",8378101.646479347,3125473.0440670806,2262087.4445494236,0.03934419078910876,31.18797752808989,4.0,0.0040960000000000015,Operating-stage
258,36347.0,36347.0,Dutwa,Nickel,12.0,12/2013,Open Pit,,,"Nickel,Cobalt,Copper,Iron Ore,Magnesium",Mwanza,Africa,-2.49118,33.85552,Exact,105 km E of Mwanza,,,Eastern Lake Victoria Goldfields,2.0,3.0,2.0,2.0,,,,,,,,,,,2.0,Blackdown Resources (UK) Limited (Owner) 90%; African Eagle Resources Plc. (Carried) 10%,,,,,,,,,,,,,,,,,,,,,,,15150.0,5000000.0,,,,,Open Pit,Leach,,,,600000.0,2011-03-14,,,Initial Capital Cost,"In mid-March 2011, African Eagle received the second iteration of the feasibility study economic model for the Dutwa project. The model evaluated both the heap leach and tank leaching processing options at a 5 million-mt/y throughput rate. The projected capital cost for the heap leaching option was $550 million and for the tank leaching option was $600 million. Estimated cash operating costs were $3.56/lb Ni and $3.37/lb Ni, respectively. _x000D_
	African Eagle believed that the tank leaching option would give a better economic return at Dutwa. Its final selection of the best process option would be based on the outcome of ongoing bench-scale and pilot-scale metallurgical test work, leading to a prefeasibility study, scheduled for completion by the end of the 2011 third quarter. (African Eagle PR 3/14/11)_x000D_
	In December 2010, a new economic model for Dutwa was released. Based on a throughput of 3 million mt/y from an unclassified mineable reserve of 80 million mt at a grade of 0.97% Ni, life-of-mine capital costs were estimated to be $659 million. (African Eagle PR 12/17/10)_x000D_
	In June 2009, African Eagle began a feasibility study on Dutwa following a positive scoping study. The study, performed by GRD Minproc, concluded optimal processing of 2 million mt/y ore through atmospheric tank-leaching, heap leaching, or high-pressure acid-leaching. Capital costs were estimated at $435 million. (African Eagle PR 6/24/09)",2011.0,Blackdown Resources (UK) Limited,Blackdown Resources (UK) Ltd.,Blackdown Resource,,90.0,100.0,,,,,United Kingdom,Europe,Dutwa,"Ngasamo, Ngasamo JV, Wamangola, Wamangola Hill",Tanzania,Active,Feasibility,2013.0,,0.815,,116.7,1073820.0,,Harmony Minerals Presentation 2019,,,,,,9.0,0.531441,Feasibility-stage
260,33795.0,33795.0,Eagle,Nickel,9.0,09/2021,Underground,Open Pit,,"Nickel,Copper,Gold,Platinum,Palladium,Cobalt,Silver",Michigan,United States and Canada,46.74852,-87.88151,Exact,45 km WNW of Marquette,"The Eagle East deposit is located about 2 km east and 600 m below the Eagle mine deposit. (Lundin PR Apr 10, 2017)_x000D_
   The project is in the environmentally sensitive area of the Salmon Trout River. (Kennecott PR 6/20/04)",,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Lundin Mining Corporation (Owner) 100%,1.0,Unnamed Owner (Royalty),,,,,,,,,,,,,2014.0,4.0,2014.0,1.0,,,2025.0,,2000.0,730000.0,,,,,Sublevel Stoping,"Ball, Crushing, Flotation, Grinding",Concentrate,131.0,,770000.0,2013-06-19,2014-12-31,2014-09-30,Initial Capital Cost,"In mid-July 2014, Lundin announced that total capital cost forecast remained at $400 million, with final costs expected to come in on or slight under budget. (Lundin PR 7/16/14)_x000D_
   As of March 2014, Lundin reported that $160 million was spent on Eagle since its acquisition, with remaining $241 million to be spent up to completion. (Lundin PRES 5/16/14)_x000D_
   In mid-September 2013, Lundin executed a term sheet and secured commitments from a syndicate of lenders for a new term loan of $250 million to be extended under an amendment to its existing credit agreement. The amended credit agreement also extended the maturity of the existing $350 million revolving credit facility to four years from the date of closing of the amendment. The Term Loan and Revolving Facility were intended to provide the necessary funding to acquire and complete the construction of the Eagle project. (Lundin PR 9/16/13)_x000D_
	In June 2013, capital expenditures were estimated at $770 million, $355 million of which had already been spent by Rio Tinto. Lundin planned to fund the remaining $400 million through an existing credit facility from ongoing cash flow, and possibly and expanded debt facility, or similar funding. (NM 6/29/13)_x000D_
	In June 2010, Rio Tinto announced it would invest $469 million to develop the Eagle mine.  Construction would begin this year with production to start in 2013.  The mine would produce 17,300 mt Ni and 13,200 mt Cu in concentrates over a six-year mine life. (Rio Tinto PR 6/16/10)_x000D_
	In March 2009, the capital cost to develop Eagle was reported at $297 million. The project had been deferred until market conditions recovered and local permitting was completed.(Rio Tinto 12/08 AR 3/17/09)_x000D_
	In August 2008, Eagle was expected to start production in late 2010 at a total cost of $270 million. (Rio Tinto 6/08 IR 8/26/08)_x000D_
	In December 2007, Rio Tinto approved the $300 million investment required to bring Eagle into production by late 2009 at a rate of 16,000 mt/y Ni for seven-years. (Rio Tinto PR 12/18/07)_x000D_
     In January 2007, Kennecott received initial approval to build a $150 million nickel and copper mine. (MJ 1/12/07)",2014.0,Lundin Mining Corporation,Lundin Mining Corp.,Lundin Mining,,100.0,100.0,Toronto,"Toronto, Ontario",Toronto [CA],Ontario,Canada,United States and Canada,Eagle,"Eagle East, Humboldt Mill, Kennecott Eagle, Salmon Trout, Yellow Dog",USA,Active,Operating,2021.0,107094.0,2.6,16456.0,4.571,144185.0,4119000.0,Antofagasta AnnRpt 2019Lundin Mining Ltd AnnInfForm 2019,2231316.456791653,1367984.71580583,3556760.261095158,0.004626682371595395,6.5078998541565385,4.0,0.0040960000000000015,Operating-stage
261,35686.0,35686.0,Eagle's Nest,Nickel,6.0,06/2021,Underground,,,"Nickel,Copper,Gold,Platinum,Palladium,Silver",Ontario,United States and Canada,52.74202,-86.3038,Exact,385 km NNW of Hearst,"The McFaulds Lake project area is located approximately 250 km west of the community of Attawapiskat and 575 km northwest of Timmins. The closest all-season accessible community to the McFaulds Lake project area is currently Nakina, 300 km to the south. The First Nations communities of Webequie and Ogoki/Marten Falls are located 90 km west and 130 km south southeast of McFaulds Lake, respectively. (Noront TR 10/6/11)",,James Bay Lowlands,1.0,1.0,1.0,1.0,0.18,,,,,,3900.0,,,,1.0,Noront Resources Ltd. (Owner) 100%,3.0,"Franco-Nevada Corporation (GR) 1%; RCF Management, LLC (NSR) 1%; Unnamed Owner (NSR) 1%",,,,,,,,,,,,,,,2022.0,,,,2033.0,,3000.0,1000000.0,,,,,"Blasthole Open Stoping, Sublevel Stoping, Underground",,Concentrate,78.9202165099771,,614097.005142684,2010-09-09,,,Initial Capital Cost,"In September 2012, Noront released the results of its feasibility study for Eagle's Nest. The initial capital cost was estimated at $605.6 million (C$609 million). An additional $159.1 million (C$160 million) was estimated for sustaining capital. (Noront PR 9/5/12)		_x000D_
	In August 2011, Noront announced results from the Eagle's Nest prefeasibility study. The study projected capital costs of $734 million (C$734 million) including $500 million for mine site infrastructure and development and $234 million for shared infrastructure and the slurry pipeline. The study fully converted the measured and indicated resources to proven and probable reserves (the inferred resources were not included in the study).  (Noront PR 8/23/11)_x000D_
	In September 2010, Noront announced results from a preliminary assessment on the Eagle's Nest deposit.  The study indicated that a 1-million-mt/y underground mine and mill (the mill would also be located underground) would cost between $576 million and $600 million (C$600-625 million) with operating costs of $2.9/lb Ni (C$3/lb) over its 11-year mine life.  The study indicated a break-even nickel grade of between 0.3% and 0.5% at assumed metal prices of $9.08/lb Ni, $2.92/lb Cu, $1,427/oz Pt, $345/oz Pd, and $944/oz Au.  (Noront PR 9/9/10)_x000D_
	In October 2008, Noront announced results from the preliminary economic assessment on the Eagle One deposit.  An initial capital cost of $170 million (C$173 million) would be funded through equity.   (Noront PR 10/21/08)",2010.0,Noront Resources Ltd.,Noront Resources Ltd.,Noront,,100.0,100.0,Toronto,"Toronto, Ontario",Toronto [CA],Ontario,Canada,United States and Canada,Eagle's Nest,"AT12, AT12 Nickel/Copper/PGE, AT-5, Blue Jay, Blue Jay Extension, Contact Zone, Double Eagle, Eagle One, Eagle Two, Eagles Nest, James Bay, McFaulds Lake, Project Area 1, Project Area 2, Project Area 3, Thunderbird, Triple J, Webequie",Canada,Active,Operating,2021.0,187000.0,1.68,18335.0,21.57,299474.0,11131000.0,"Collins et al., 2014Burgess et al., 2012",2751247.470708491,1542385.4430624924,2591207.5443449873,0.007075851581249843,10.199072811562585,4.0,0.0040960000000000015,Operating-stage
275,33386.0,33386.0,East Yellow Mountain,Nickel,6.0,06/2020,Underground,,,"Nickel,Copper,Cobalt",Xinjiang,Asia-Pacific,42.26456,94.6056,Exact,110 km ESE of Hami,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,"Xinjiang Xinxin Mining Industry Co., Ltd. (Owner) 100%",,,,,,,,,,,,,,,1999.0,4.0,,,,,,,5600.0,1650000.0,,,,,"Room & Pillar, Shrinkage Stoping, Sublevel Caving","Ball, Crushing, Flotation, Grinding",Concentrate,,,158500.0,2008-08-21,2012-06-30,,Expansion,"As of May 2012, the Huangshan Cu-Ni mine was expected to be commisioned during the June 2012 quarter with total investment of $158.5 million (1 billion yuan). Work at the mine started in June 2010. (Antaike 5/7/12)_x000D_
	In 2009, the expansion project began at the East Yellow mine to increase its processing rate to 4,000 mt/d by 2012. (Xinjiang 12/09 AR 3/29/10)_x000D_
	In April 2008, GobiMin was negotiating with engineering consultants and contractors for the planning, designing, and construction of the new mine site and mill at Yellow Mountain, which the company believed would have a capacity of 3,500 to 4,000 mt/day. It was expected that construction would take about four years and cost a total of about $120 million. The mill alone would cost an estimated $15 million. (NM 4/21/08)",2012.0,"Xinjiang Xinxin Mining Industry Co., Ltd.",Xinjiang Xinxin Mining Industry Co. Ltd.,Xinjiang Xinxin,,100.0,100.0,Urumqi,"Urumqi, Xinjiang",Urumqi [CN],Xinjiang,China,Asia-Pacific,East Yellow Mountain,"Hami Jubao, Hami Tulaergen, Hami Tularergen, Hejing Xinjiang, Huangshan, Huangshan Dong No. 12, Huangshan Dong No. 17, Huangshandong, Jubao, Xiangshan, Xinjiang Yakesi, Yakesi, Yellow Mountain East",China,Active,Operating,2020.0,143673.0,0.5,6324.0,78.389601,352404.0,28750475.0,Porter Geoconsultancy website updated 2015 (www.portergeo.com.au) (accessed June 2019)Xinjiang Xinxin AnnRpt 2019,1517268.4453846659,780972.4461312905,390486.22306564526,0.016195193649474447,22.718690702087287,6.0,0.04665599999999999,Operating-stage
307,35582.0,35582.0,Feni,Nickel,2.0,02/2010,Open Pit,,,"Nickel,Copper,Cobalt,Iron Ore",Kavadarci,Europe,41.43935,21.94172,Exact,10 km NNW of Begnishte,,,Balkans,2.0,2.0,1.0,1.0,,,,,,,,,,,2.0,BSG Resources Limited (Owner) 50%; International Mineral Resources AG (Owner) 50%,,,,,,,,,,,,,,,1991.0,3.0,,,,,,,,,,,,,Open Pit,"Ball, Crushing, Smelting",,,,500000.0,1990-05-01,,1982-04-30,Initial Capital Cost,"In April 1982, construction at Feni was completed and production began. (MINT 5/90)_x000D_
	In 1978, construction costs for the Feni project were estimated at $500 million. (MB 8/15/91)",1982.0,BSG Resources Limited,BSG Resources Ltd.,BSG Rsrc Ltd,,50.0,50.0,Guernsey,"Guernsey, Guernsey [Guernesey]",Guernsey [GB],Guernsey [Guernesey],United Kingdom,Europe,Feni,"Cunico, Fenimak, Feni-Mak, Fenimark, Karvardarci, Kavadarci, Rzanovo",North Macedonia,Active,Operating,2010.0,39168.0,0.96,11400.0,,,4080000.0,,818791.8191901692,502418.2633861565,786040.1464225624,0.014503076022113946,3.4357894736842107,6.0,0.04665599999999999,Operating-stage
310,28251.0,28251.0,Fenix,Nickel,7.0,07/2016,Open Pit,,,"Nickel,Cobalt",Izabal,Latin America and Caribbean,15.525,-89.395,Exact,170 km NE of Guatemala City,The project is situated near the western end of Lake Izabal in the northeastern part of Guatemala.  (MJ 4/17/92),,,3.0,2.0,2.0,1.0,,,,,,,,,,,2.0,Solway Investment Group Limited (Venturer) 98.2%; Republic of Guatemala (Venturer) 1.8%,,,,,,,,,,,,,,,2019.0,,2017.0,,1980.0,,2039.0,,,,,,,,Open Pit,Smelting,Matte,,,700000.0,2006-02-21,,,Initial Capital Cost,"As of March 2011, HudBay was exploring financing options for Fenix and seeking a JV partner. (HudBay PR 3/31/11)_x000D_
	As of June 2010, HudBay did not expect the capital costs associated with the optimized Fenix feasibility study to differ far from the previous $700 million (C$1 billion) estimate. (miningweekly.com WS 6/9/10)_x000D_
	In June 2009, initial capital costs at Fenix were estimated to total up to $700 million (C$1 billion). (G&M 6/22/09)_x000D_
	In January 2008, Skye Resources announced it would defer financing the Fenix property until the credit markets improved.  Hatch would continue engineering services, maintain the site, and early works would be completed. (Skye PR 1/30/08)_x000D_
	In December 2007, Skye Resources appointed Morgan Stanley as the lead arranger for all financings related to the development of Fenix, the company planned to have debt financing in place by early 2008. (Skye PR 12/12/07)_x000D_
	In August 2007, Hatch updated the capital cost and opearting costs estimates for Fenix.  Phase-one development of the mine and smelter would cost $640 million and phase-two development of a solid-fuel power plant five-years later would cost $344 million for a total of $984 million. (Skye PR 8/29/07)_x000D_
	In mid-November 2006, Skye completed a review of strategic alternatives and decided to proceed with the financing and development of Fenix on an independent basis. (Skye PR 11/14/06) Skye's advisers had told the company that more than 60% of the forecast $1 billion capital costs could be funded by debt. (MJ 11/17/06)_x000D_
	In September 2006, Skye received the results of a feasibility study on the Fenix ferro-nickel smelting project and a preliminary assessment of a potential expansion using hydrometallurgical processing. The feasibility study envisioned construction costs of $754 million for an operation producing a total of approximately 589,500 mt of nickel over a 30-year mine life. During the first 20 years (years 3 to 22) after ramp-up, the project was expected to produce approximately 22,000 mt/y Ni. Based on the existing project schedule, ferro-nickel production was scheduled to begin in early 2009 with full production expected to be achieved by 2012._x000D_
	The preliminary assessment on the potential expansion using hydrometallurgical processing envisioned a 20-year project starting in 2012, producing a total of approximately 453,500 mt Ni and 38,100 mt Co, over the life of the project. Capital costs for this project, which would expand Fenix's production by approximately 22,200 mt/y Ni, were estimated at $858 million. (Skye PR 9/26/06)_x000D_
	In February 2006, Skye announced that it had engaged Cutfield Freeman & Co to advise on, and arrange project financing for the Fenix nickel laterite project. Cutfield Freeman & Co was to immediately begin familiarizing itself with Fenix, and advising Skye on the size, structure, and availability of project financing so that by the time the feasibility study was available in the September quarter of 2006, Skye would be in a position to initiate negotiations with lenders. (Skye Resources PR 2/21/06)",2006.0,Solway Investment Group Limited,Solway Investment Group Ltd.,Solway Invt Grp,Venturer,98.2,100.0,Zug,Zug,Zug [CH],Zug,Switzerland,Europe,Fenix,"Exmibal, Fenix Limonite, Fenix Saprolite, Lake Izabel, Niguegua",Guatemala,Active,Operating,2016.0,558000.0,1.86,34000.0,40.6,767340.0,30000000.0,"Prenn et al., 2012Solway Investment Group PR20190715",5802496.8795631435,2975262.8566044313,10792644.195987448,0.0031502937910841827,16.41176470588235,8.0,0.2621440000000001,Operating-stage
322,75613.0,75613.0,Fisher East,Nickel,10.0,10/2021,Underground,,,"Nickel,Copper,Palladium,Platinum,Gold,Cobalt",Western Australia,Asia-Pacific,-26.80566,121.55167,Exact,150 km NE of Leinster,The Fisher East project is located 150 km NE of Leinster.,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Cannon Resources Limited (Owner) 100%,,,,,,,,,,,,,,,,,,,,,,,1400.0,500000.0,,,,,Sublevel Stoping,"Ball, Crushing, Flotation",,80.3552548107422,,61706.5040073764,2015-02-17,,,Initial Capital Cost,"In October 2018, the original 2015 Scoping Study was updated on the back of the positive outlook for nickel and an increased resource base. The Base Case for an underground mine with a 500,000 m/y process plant estimated up-front capital costs of A$87 million.   (Rox PR Oct 10, 2018)_x000D_
   In February 2015, the Base Case of a scoping study for an underground mine with a 500,000 mtpa process plant estimated up-front capital costs of A$85 million. The plant would produce between 8,000 and 10,000 mtpa of contained nickel in concentrate. (Rox PR Feb 17, 2015)",2015.0,Cannon Resources Limited,Cannon Resources Ltd.,Cannon Rsrc Ltd,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Fisher East,"Camelwood, Cannonball, Claymore, Cork Tree, Corktree, Cutlass, E53/1218, E53/1318, E53/1716, E53/1802, E53/1884, E53/1885, E53/1886, E53/1887, E53/1950, Emu Bush, Horacio, Horatio, Mount Fisher East, Mount Tate, Mt Fisher East, Mt Tate, Musket, P53/1496, Red Mulga, Sabre, Sabre North, Sholl Range, Silverbark, Tomahawk, Twinleaf",Australia,Active,Prefeas/Scoping,2021.0,,1.9,,4.3,,,,,,,,,4.0,0.0040960000000000015,Late-stage exploration
329,27213.0,27213.0,Forrestania,Nickel,7.0,07/2021,Underground,Open Pit,,"Nickel,Cobalt,Lithium",Western Australia,Asia-Pacific,-32.58101,119.74317,Exact,370 km ESE of Perth,Forrestania is located 375 km east of Perth in Western Australia's Yilgarn mineral field. (MJ 1/3/92),,,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,Western Areas Limited (Owner) 100%; Wesfarmers Limited (Fractional),2.0,Sandstorm Gold Ltd. (GR) 1%; Franco-Nevada Corporation (GR),,,,,,,,,,,,,2007.0,2.0,2007.0,,1999.0,3.0,,,1670.0,550000.0,,,,,"Cut & Fill Stoping, Long Hole Stoping, Open Pit","Ball, Bio-Leaching, Crushing, Flotation, Precipitation","Concentrate, Precipitates",,,20000.0,2004-11-01,,2005-05-11,Initial Capital Cost,"In the September 2004 quarter, Western Areas completed a feasibility study on the Flying Fox T1 reserves and was seeking permits and environmental approvals._x000D_
	Preliminary design work was completed for the Cosmic Boy nickel concentrate plant. A decision to proceed with the plant would depend on further feasibility work during 2005. Cost estimates were about A$25-30 million. (Western Areas 9/04 QR 11/1/04)_x000D_
	In May 2005, Western Areas officially opened the Flying Fox mine, and was expected to produce 6,000 mt/y Ni.  (Western Areas 5/16/05)_x000D_
	In January 2006, Western Areas announced a decision to construct a nickel sulfide concentrator at Forrestania at a total capital cost of approximately $20 to $25 million, including  plant acquisition, construction, village expansion, and tailings disposal. The plant, whose construction was subject to gaining environmental approvals and negotiating appropriate finance, was expected to be commissioned by year-end 2006. _x000D_
	The plant would be constructed using second-hand equipment acquired in 2005, comprising: sulfide flotation and filtration circuits, a SAG grinding mill and conveyor systems. A crushing circuit for the plant was being sourced._x000D_
	Western Areas had started discussions with its existing financiers to consider funding the plant construction as part of a new debt facility for the proposed stage-two Flying Fox mine expansion, for which a feasibility study was almost complete. _x000D_
	The concentrator would be located at Cosmic Boy, 20 km south of Flying Fox. It would use the site of the plant that Outokumpu operated until 1999, which would have benefits, including: established infrastructure (grid power, roads, bore fields, tailings storage, ore bin), centrally located between Flying Fox and Diggers South, proximity to Western Area’s accommodation village, administration and airstrip. (Western Areas PR 1/11/06)",2005.0,Western Areas Limited,Western Areas Ltd.,Western Areas Ltd,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Forrestania,"Antimony Nickel, Arrowhead, Beautiful Sunday, Boojum, Cosmic, Cosmic Boy, Crossroads, CUB, Daybreak, Digger Rocks, Diggers, E77/1734, EJ Moore, Emu Heights, EUB, Flying Fox, Galaxy, Hang Dog, Hanna, Krasenstein, Lake King, Lake Ned, Liquid Acrobat, Lounge Lizard, Mount Hope, Mt Hope, New Morning, NMDB, North Ironcap, Parker Dome, Purple Haze, Rat Bat, Rokeby, Seagull, Sebelius, Sibelius, South Ironcap, South Quest, South Tetley, Spotted Quoll, Sunrise, T Zero, Teddy Bear, Tim King, West Quest, Willy Willy, WUB",Australia,Active,Operating,2021.0,30800.0,1.46,4873.0,3.96,52600.0,2109000.0,Resource and reserve established in 2004Western Areas PR20071129,810915.8486366073,528031.9896557723,770926.7048974276,0.006320964067068291,6.320541760722348,4.0,0.0040960000000000015,Operating-stage
333,27382.0,27382.0,Fortaleza de Minas,Nickel,1.0,01/2016,Underground,Open Pit,,"Nickel,Copper,Cobalt,Platinum,Palladium",Minas Gerais,Latin America and Caribbean,-20.89472,-46.70722,Approximate,20 km SSW of Passos,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,Unnamed Owner (Owner) 100%,,,,,,,,,,,,,,,1998.0,1.0,1998.0,1.0,2006.0,4.0,,,1760.0,580000.0,,,,,,"Crushing, Flotation, Grinding",Matte,,,225000.0,1995-05-22,,,Initial Capital Cost,"Rio Tinto commissioned the $225 million Fortaleza mine and mill in late 1997 and the smelter in early 1998. (Rio Tinto WS 1/04)_x000D_
	In May 1995, the capital cost for the open pit and surface facilities was estimated at $183 million, with an additional $50 million for the subsequent commissioning of the underground mine.  (MB 5/22/95)_x000D_
   Construction continued into 1997, and capital costs estimates stayed on track at about $230 million for an open pit, followed five years by an underground mine. (MJ 6/13/97)_x000D_
   Flash smelter commissioning began in December 1997, and the 10,000-mt/y capacity was expected to be reached in March 1998. (MB 12/24/97)",1995.0,Unnamed Owner,Unnamed Owner,Unnamed Owner,,100.0,100.0,,,,,USA,United States and Canada,Fortaleza de Minas,"Americano do Brasil, Serra de Fortaleza",Brazil,Inactive,Closed,2016.0,14300.0,1.3,,,,1100000.0,,472957.10435331095,326548.5424770849,424513.1052202104,,,7.0,0.11764899999999996,Closed-stage
